Name,Web Address,Sales Rep,Vertical,Billing City,Billing State/Province,Annual Revenue,NAICS
1141930 Christy Sports LLC,http://www.christysports.com,"O'Neill, Brian",Retail,Colorado Springs,CO,$100M to $150M,459110 Sporting Goods Retailers
12speed.com,https://12speed.com/,"Traywick, Reginald",Retail,Irvine,CA,$5M to $10M,423910 Sporting and Recreational Goods and Supplies Merchant Wholesalers
16500 INC,http://www.16500.com,"O'Neill, Brian",Manufacturing,Emeryville,CA,$20M to $30M,335139 Electric Lamp Bulb and Other Lighting Equipment Manufacturing
1735221 Alberta Ltd,https://www.ccsodadistributors.com/,"Traywick, Reginald",Retail,Airdrie,AB,$500k to $1M,424450 Confectionery Merchant Wholesalers
1HMX,http://1HMX.com,"Uritis, Peter",Manufacturing,Coeur D Alene,ID,$5M to $10M,327420 Gypsum Product Manufacturing
37th Street Bakery,http://www.37bakery.com,"Traywick, Reginald",Food & Beverage,Chicago,IL,$10M to $20M,311811 Retail Bakeries
3DEO,https://www.3deo.co/,"Corbett, Danielle",Manufacturing,Gardena,CA,$30M to $50M,423510 Metal Service Centers and Other Metal Merchant Wholesalers
7G Distributing LLC,http://www.7gdistributing.com,"Dambrosio, Thomas",Retail,Cedar Rapids,IA,$10M to $20M,424810 Beer and Ale Merchant Wholesalers
7gypsies,http://www.ultrapro.com,"Dynek, Christopher",Retail,Commerce,CA,$20M to $30M,423920 Toy and Hobby Goods and Supplies Merchant Wholesalers
7gypsies : 7gypsies   | Accounts Payable,,"Dynek, Christopher",,,,,
7gypsies : 7gypsies General Ledger,,"Dynek, Christopher",,,,,
7gypsies : 7gypsies | QIP5 MEGA June July,,"Dynek, Christopher",,Commerce,CA,,
7gypsies : 7gypsies |General Ledger,,"Dynek, Christopher",,,,,
8 Net Inc.,http://www.8net.com,"Dambrosio, Thomas",Retail,City Of Industry,CA,$5M to $10M,424130 Industrial and Personal Service Paper Merchant Wholesalers
88 Tactical,http://www.88tactical.com,"O'Neill, Brian",Manufacturing,Omaha,NE,$5M to $10M,"332994 Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
"9Wood, inc.",http://www.9wood.com,"Corbett, Danielle",Manufacturing,Springfield,OR,$10M to $20M,337212 Custom Architectural Woodwork and Millwork Manufacturing
"A & M Biomedical, Inc.",http://www.ambiomedical.com,"Dambrosio, Thomas",Manufacturing,Laguna Hills,CA,$5M to $10M,339112 Surgical and Medical Instrument Manufacturing
A&A Global Imports,http://www.aaglobalimports.com,"Corbett, Danielle",Manufacturing,Los Angeles,CA,$5M to $10M,424130 Industrial and Personal Service Paper Merchant Wholesalers
A&D Precision,http://www.adprecision.com,"Corbett, Danielle",Health & Beauty,Fremont,CA,$5M to $10M,332710 Machine Shops
